Account Number	Account Name	Header	Balance	Account Type	Last Cheque Number	Tax Code	Currency Code	Exchange Account	Inactive Account	AccountantLink Code	BSB Number	B/Account Number	B/Account Name	Company Trading Name	Create Bank Files	Bank Code	Direct Entry User ID	Self Balancing Transaction	Description	Classification for Statement of Cash Flow	Subtotal header Accounts
10000	Assets	H	"$4,532,029.88"	Asset					N												Y
11000	Current Assets	H	"$1,784,791.16"	Asset					N												Y
11100	Cash on Hand	H	"$24,095.63"	Asset					N												Y
11110	Cheque Account - Westpac 22770		"$13,520.91"	Bank	400903	N-T			N		033-134	227703	THE PAPER CUP COMPANY	TPCC	Y	WBC	361974	N			
11111	Maxi Direct - Cash Reserv		$193.70	Bank	2	N-T			N						N			N			
11112	United States Dollars		"$9,811.82"	Bank	19	N-T			N						N			N			
11113	Buisness One 416440		$0.00	Bank	0	N-T			N						N			N			
11120	Payroll Cheque Account		$0.00	Bank	403595	N-T			N						N			N			
11130	Petty Cash		$569.20	Bank	2	N-T			N						N			N			
11135	CONTRA SUSPENSE		$0.00	Bank	0	N-T			N						N			N			
11150	SECONDS VARIOUS		$0.00	Other Asset		N-T			N											O	
11180	Undeposited Funds		$0.00	Bank	0	N-T			N						N			N			
11190	Electronic Clearing Account		$0.00	Bank	404252	N-T			N		033-134	227703	THE PAPER CUP COMPANY PTY LTD	THE PAPER CUP CO	Y			N			
11192	United States Dollars Currency		$0.00	Bank	3	N-T			N						N			N			
11200	Trade Debtors		"$1,410,041.33"	Accounts Receivable		N-T			N											O	
11210	Less Prov'n for Doubtful Debts		$0.00	Other Asset		N-T			N											O	
11221	Loan to Ashur Sarkis		$0.00	Other Asset		N-T			Y											O	
11222	Bond to Immigration Dept		"$2,080.00"	Other Current Asset		N-T			N											O	
11300	Inventory	H	"$184,175.28"	Asset					N												Y
11309	PLAIN PALLETS		"$1,805.00"	Other Asset		GST			N											O	
11310	Raw Materials -Paper Stock		"$154,685.65"	Other Asset		GST			N											O	
11311	SPOON LIDS		$204.67	Other Asset		N-T			N											O	
11312	Paper Sleeves		$0.00	Other Asset		GST			N											O	
11313	Inventory - Cartons		"$7,567.40"	Other Asset		GST			N											O	
11314	Inventory - Ink		$0.00	Other Asset		GST			N											O	
11315	Inventory - Spoons		"$9,298.80"	Other Asset		GST			N											O	
11316	Inventory - Glue		$0.00	Other Asset		GST			N											O	
11317	Inventory - Sleeves -Materials		"$10,613.76"	Other Asset		GST			N											O	
11319	Cardboard Pallets		$0.00	Other Asset		N-T			N											O	
11320	Cups Bought		$0.00	Other Asset		GST			N											O	
11321	Finished Goods - Paper Trays		$0.00	Other Asset		GST			N											O	
11322	Dispensers		$0.00	Other Asset		N-T			N											O	
11323	Finished GoodsMilk Shake Gener		$0.00	Other Asset		GST			N											O	
11324	Finished Goods Food Containers		$0.00	Other Asset		GST			N											O	
11325	F/G 4 oz S/W Paper Cups		$568.50	Other Asset		GST			N											O	
11326	F/G - 8 oz S/W Paper Cups		"$4,111.94"	Other Asset		GST			N											O	
11327	F/G 12 oz S/W Paper Cup		"$7,382.99"	Other Asset		GST			N											O	
11328	F/G 16 oz S/W Paper Cup		"$3,741.06"	Other Asset		GST			N											O	
11329	F/G 4oz D/W Paper Cups		"$1,645.22"	Other Asset		GST			N											O	
11330	F/G 8 oz D/W Paper Cups		"$4,412.38"	Other Asset		GST			N											O	
11331	F/G 12 oz D/W Paper Cups		"$4,452.56"	Other Asset		GST			N											O	
11332	F/G 16 oz D/W Paper Cups		"$8,256.87"	Other Asset		GST			N											O	
11333	F/G 2 oz S/W Paper Cups		"$1,574.70"	Other Asset		GST			N											O	
11334	F/G Food Container 1		"$2,643.12"	Other Asset		GST			N											O	
11335	F/G Food Container 2		"$1,601.14"	Other Asset		GST			N											O	
11336	F/G Food Container 3		"$1,299.34"	Other Asset		GST			N											O	
11337	F/G Food Container 4		$175.24	Other Asset		GST			N											O	
11338	F/G Food Container 5		$524.71	Other Asset		GST			N											O	
11339	F/G 6.5 S/W Paper Cups		"$1,138.15"	Other Asset		GST			N											O	
11340	F/G 8 oz T S/W Paper Cups		$642.56	Other Asset		GST			N											O	
11341	F/G 8oz T S/W Cold Dink		$0.00	Other Asset		GST			N											O	
11342	F/G 8 ozT D/W Paper Cups		"$5,129.00"	Other Asset		GST			N											O	
11343	F/G 22 oz S/W Cold Cups		$52.29	Other Asset		GST			N											O	
11344	F/G 24 oz S/W  Cold Cup		$0.00	Other Asset		GST			N											O	
11345	F/G 12 oz S/W Cold Cups		$0.00	Other Asset		GST			N											O	
11346	F/G 16 oz S/W Cold Cups		-$640.62	Other Asset		GST			N											O	
11347	F/G 3 oz Ice Cream		"$29,221.40"	Other Asset		GST			N											O	
11348	F/G 5 oz Ice Cream		"$1,601.09"	Other Asset		GST			N											O	
11349	F/G 8 oz Ice Cream		"$1,238.90"	Other Asset		GST			N											O	
11350	F/G 8oz S/W Cold Cups		$0.00	Other Asset		GST			N											O	
11351	F/G 12oz Chip Cup		"$3,322.97"	Other Asset		GST			N											O	
11352	8oz Chip Cups		$22.31	Other Asset		GST			N											O	
11353	F/G Paper Plates		$0.00	Other Asset		GST			N											O	
11354	Assets - Straws		$242.53	Other Asset		GST			N											O	
11355	Assets - Napkins		$0.00	Other Asset		GST			N											O	
11356	Inventory - Lids		"$80,038.57"	Other Asset		GST			N											O	
11357	STIRRERS		$0.00	Other Asset		N-T			N											O	
11441	Inventory - Ink		"$12,787.85"	Other Asset		GST			N											O	
11442	Inventory Uniforms		"$5,580.83"	Other Asset		FRE			N											O	
11950	Withholding Credits	H	$0.00	Asset					N												Y
11960	Voluntary Withholding Credits		$0.00	Other Asset		N-T			N											O	
11966	Rental Bond - Factory 8D		$0.00	Other Asset		N-T			N											O	
11970	ABN Withholding Credits		$0.00	Other Asset		N-T			N											O	
12000	Other Assets	H	$719.00	Asset					N												Y
12100	Deposits Paid		$719.00	Other Asset		GST			N											O	
12200	Prepaid Insurance		$0.00	Other Asset		GST			N											O	
13000	Fixed Assets	H	"$2,728,151.04"	Asset					N												Y
13100	Plant & Equipment	H	"$2,393,301.72"	Asset					N												Y
13110	Manufacturing Plant at Cost		"$675,482.42"	Other Asset		CAP			N											O	
13120	Manufac. Plant Accum Dep		$0.00	Other Asset		N-T			N											O	
13130	Manufacturing Equipment Cost		"$1,717,819.30"	Other Asset		CAP			N											O	
13140	Manufac. Equip Accum Dep		$0.00	Other Asset		N-T			N											O	
13200	Furniture & Fixtures	H	"$73,276.32"	Asset					N												Y
13210	Furniture & Fixtures at Cost		"$73,276.32"	Other Asset		CAP			N											O	
13220	Furniture & Fixtures Accum Dep		$0.00	Other Asset		N-T			N											O	
13300	Office Equipment	H	"$28,737.15"	Asset					N												Y
13310	Office Equip at Cost		"$28,737.15"	Other Asset		CAP			N											O	
13320	Office Equip Accum Dep		$0.00	Other Asset		N-T			N											O	
13330	Equipment At Cost	H	"$54,974.38"	Asset					N												N
13340	Plant & Equipment At Cost		"$54,974.38"	Fixed Asset		CAP			N											I	
13350	Plant & Equipment Acc Dep		$77.26	Fixed Asset		N-T			N											I	
