Journal Number	Date	Memo	Item Number	Location	Quantity	Unit Cost	Amount	Account	Job	Allocation Memo	Category
IJ009797	08/07/2016	Inventory count	C123_TRMBTA_SW_04_TRMBTA	Location1	-21	$11.16	-$234.30	39999			

IJ009807	11/07/2016	Inventory count	TPCC_DW_12_RED	Location1	12	$0.00	$0.00				

IJ009814	12/07/2016	Inventory count	C031_LOMB_DW_08_DIB_MAP	Location1	-8	$19.37	-$154.93	39999			
IJ009814	12/07/2016	Inventory count	TPCC_DW_08_BLK	Location1	8	$19.37	$154.93	39999			

IJ009831	13/07/2016	Inventory count	C031_LOMB_DW_12_SHINGINN	Location1	-5	$18.39	-$91.93	39999			

IJ009844	14/07/2016	Inventory count	TPCC_DW_12_BLK	Location1	2	$0.00	$0.00				

IJ009885	19/07/2016	Inventory Count	SP250-313	Location1	500	$1.84	$922.45	39999			

IJ009895	20/07/2016	Inventory count	C031_LOMB_DW_16_DIB_MAP	Location1	-4	$14.68	-$58.72	39999			
IJ009895	20/07/2016	Inventory count	TPCC_DW_16_BLK	Location1	4	$0.00	$0.00				

IJ009896	20/07/2016	Inventory count	C031_LOMB_DW_08T_DJONES	Location1	-1	$18.81	-$18.81	39999			
IJ009896	20/07/2016	Inventory count	TPCC_DW_08T_BLK	Location1	1	$0.00	$0.00				

IJ009897	20/07/2016	Inventory count	C031_LOMB_DW_04_DIB_MAP	Location1	-1	$16.22	-$16.22	39999			
IJ009897	20/07/2016	Inventory count	TPCC_DW_04_BRN	Location1	1	$0.00	$0.00				

IJ009898	20/07/2016	Inventory count	C031_LOMB_DW_04_DIB_MAP	Location1	-1	$16.22	-$16.22	39999			
IJ009898	20/07/2016	Inventory count	TPCC_DW_04_BLK	Location1	1	$16.22	$16.22	39999			

IJ009900	20/07/2016	Inventory count	C031_LOMB_DW_08T_DIB_MAP	Location1	1	$14.86	$14.86	39999			
IJ009900	20/07/2016	Inventory count	TPCC_DW_08T_BLK	Location1	-1	$0.00	$0.00				

IJ009923	22/07/2016	Inventory count	SPM712-208	Location1	600	$1.86	$1,117.62	39999			

IJ009925	25/07/2016	Inventory Count	SP250-313	Location1	500	$1.84	$922.45	39999			

IJ009941	26/07/2016	Inventory Count	C-Group2	Location1	800	$1.04	$831.84	39999			

IJ009972	29/07/2016	Inventory count	C-Group2	Location1	147.2	$1.04	$153.05	39999			

IJ009979	29/07/2016	Inventory count	C-Group2	Location1	50	$1.04	$52.00	39999			

IJ009981	29/07/2016	Inventory count	TPCC_FC_16_WH	Location1	29	$17.36	$503.45	39999			

IJ009996	01/08/2016	Inventory count	SP250-313	Location1	500	$1.84	$922.46	39999			

IJ010003	02/08/2016	Inventory Count	C023_ICM8_SC_16_ICM8	Location1	-1	$22.75	-$22.75	39999			

IJ010468	03/08/2016	Inventory Count	JL_HLS_4_B	Location1	15	$17.15	$257.21	39999			

IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_DW_16_WH	Location1	-3	$14.59	-$43.78	39999			
IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_FC_08_WH	Location1	8	$15.86	$126.85	39999			
IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_FC_20_WH	Location1	11	$18.01	$198.13	39999			
IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_FC_25_WH	Location1	-1	$19.39	-$19.39	39999			
IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_FC_30_WH	Location1	-1	$20.59	-$20.59	39999			
IJ010045	04/08/2016	Inventory count - Physical Count	TPCC_IC_05_WH	Location1	40	$15.93	$637.34	39999			
