Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Purchase #	Date	Supplier Invoice #	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Shipping Date	Tax Code	Non-GST Amount	GST Amount	Import Duty Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight Import Duty Amount	Purchase Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	Amount Paid	Category	Order	Received	Billed	Location ID	Card ID	Record ID
AIMMCO PLASTICS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008044	10/11/2016	INV 00000438		P	CM150_35_G	41	Yogurt Spoon BIO (1,000) Green	$33.00	$36.30	0%	$1,353.00	$1,488.30			Purchase; AIMMCO PLASTICS		GST	$0.00	$135.30	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$3,732.30			41	41	Location1	*None	307
AIMMCO PLASTICS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008044	10/11/2016	INV 00000438		P	SPOON_C	27.4	Spoon Gelato Clear (5x1,000)	$79.5456	$87.50	0%	$2,179.55	$2,397.50			Purchase; AIMMCO PLASTICS		GST	$0.00	$217.95	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$3,732.30			27.4	27.4	Location1	*None	307

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008607	16/02/2017	INV 28200		P	JL_CL_8~16	96	8~16 oz Cold Flat Lid (1,000)	$19.80	$21.78	0%	$1,900.80	$2,090.88			Purchase; REMAPAK PTY LTD		GST	$0.00	$190.08	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			96	96	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008747	16/02/2017	INV 28193		P	JL_CL_22~24	96	22/24oz Cold Flat Lid (1,000)	$19.80	$21.78	0%	$1,900.80	$2,090.88		REQUIRED A.S.A.P.	Purchase; REMAPAK PTY LTD		GST	$0.00	$190.08	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			96	96	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008750	16/02/2017	INV 28199		P	JL_HL_T8_B	128	8ozT Hot Sipper Lid (Black)	$22.30	$24.53	0%	$2,854.40	$3,139.84			Purchase; REMAPAK PTY LTD		GST	$0.00	$285.44	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			128	128	Location1	00000628	411

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008809	22/02/2017	95581150		E	BP117-254	1,851	117mm214+20PE+20PECupforma Nat	$2.125	$2.3375	0%	$3,933.38	$4,326.72			Purchase; SPICERS		GST	$0.00	$393.34	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			1,851	1,851	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008810	22/02/2017	95581151		E	IP675-278	2,176	Cup Forma Nat 675mm 260+18PE	$1.832	$2.0152	0%	$3,986.43	$4,385.07			Purchase; SPICERS		GST	$0.00	$398.64	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			2,176	2,176	Location1	AC #:126630	381
SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008810	22/02/2017	95581151		E	BP82-254	3,227	82mm214+20PE+20PECupforma Nat	$2.125	$2.3375	0%	$6,857.38	$7,543.12			Purchase; SPICERS		GST	$0.00	$685.74	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			3,227	3,227	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008819	22/02/2017	95581242		E	SP305-313	2,791	305mm295+18PE Cupforma Special	$1.923	$2.1153	0%	$5,367.09	$5,903.80			Purchase; SPICERS		GST	$0.00	$536.71	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			2,791	2,791	Location1	AC #:126630	381

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008802	23/02/2017	INV 28259		P	JL_HL_8~16_B	224	8~16 oz Hot Sipper Lid (Black)	$23.45	$25.795	0%	$5,252.80	$5,778.08		REQUIRED A.S.A.P.	Purchase; REMAPAK PTY LTD		GST	$0.00	$525.28	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			224	224	Location1	00000628	411

REMAPAK PTY LTD		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00008739	28/02/2017	INV 28296		P	JL_HL_8~16_B	56	8~16 oz Hot Sipper Lid (Black)	$21.01	$23.1111	0%	$1,176.56	$1,294.22			Purchase for Lombard The Paper People	01/03/2017	GST	$0.00	$117.66	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			56	56	Location1	00000628	411
REMAPAK PTY LTD		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00008739	28/02/2017	INV 28296		P	JL_HL_T8_W	128	8ozTHot Sipper Lid (White)	$18.57	$20.427	0%	$2,376.96	$2,614.65			Purchase for Lombard The Paper People	01/03/2017	GST	$0.00	$237.69	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			128	128	Location1	00000628	411
REMAPAK PTY LTD		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00008739	28/02/2017	INV 28296		P	JL_HL_8~16_W	280	8~16 oz Hot Sipper Lid (White)	$19.98	$21.978	0%	$5,594.40	$6,153.84			Purchase for Lombard The Paper People	01/03/2017	GST	$0.00	$559.44	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			280	280	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008782	28/02/2017	INV 28304		P	JL_FATCUP_8~16_W	224	8~16 Fat Cup Lids White 1,000	$19.98	$21.978	0%	$4,475.52	$4,923.07			Purchase; REMAPAK PTY LTD		GST	$0.00	$447.55	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			224	224	Location1	00000628	411
REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008782	28/02/2017	INV 28304		P	JL_FATCUP_8~16_B	112	8~16 oz Fat Cup Lid (Black)	$21.00	$23.10	0%	$2,352.00	$2,587.20			Purchase; REMAPAK PTY LTD		GST	$0.00	$235.20	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			112	112	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008826	28/02/2017	INV 28297		P	JL_HL_8~16_W	280	8~16 oz Hot Sipper Lid (White)	$19.98	$21.978	0%	$5,594.40	$6,153.84		REQUIRED A.S.A.P.	Purchase; REMAPAK PTY LTD		GST	$0.00	$559.44	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			280	280	Location1	00000628	411

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008862	28/02/2017	95584512		E	SP275-313	7,637	275mm295+18PE Cupforma Special	$1.842	$2.0262	0%	$14,067.35	$15,474.09			Purchase; SPICERS		GST	$0.00	$1,406.74	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			7,637	7,637	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008863	28/02/2017	95584511		E	IP730-278	4,235	Cup Forma Nat 730mm 260+18PE	$1.832	$2.0152	0%	$7,758.52	$8,534.37			Purchase; SPICERS		GST	$0.00	$775.85	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			4,235	4,235	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008857	01/03/2017	95571249		E	SP730-313	3,854	730mm295+18PE Cupforma Special	$1.923	$2.1153	0%	$7,411.24	$8,152.36			Purchase; SPICERS		GST	$0.00	$741.12	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			3,854	3,854	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008858	01/03/2017	95571250		E	SP730-313	3,882	730mm295+18PE Cupforma Special	$1.923	$2.1153	0%	$7,465.09	$8,211.60			Purchase; SPICERS		GST	$0.00	$746.51	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			3,882	3,882	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008865	01/03/2017	95584989		E	IP675-278	1,010	Cup Forma Nat 675mm 260+18PE	$1.832	$2.0152	0%	$1,850.32	$2,035.35			Purchase; SPICERS		GST	$0.00	$185.03	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			1,010	1,010	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008866	01/03/2017	95584990		E	IP675-278	1,638	Cup Forma Nat 675mm 260+18PE	$1.832	$2.0152	0%	$3,000.82	$3,300.90			Purchase; SPICERS		GST	$0.00	$300.08	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			1,638	1,638	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008867	01/03/2017	95584988		E	OP275-230	4,271	Performa Brill 275x1250 230GSM	$1.62	$1.782	0%	$6,919.02	$7,610.92			Purchase; SPICERS		GST	$0.00	$691.90	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			4,271	4,271	Location1	AC #:126630	381

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008884	01/03/2017	FC 265002		P	PPL_IC_03	1	The Gelato Factory 3oz Ice Cream.	$50.00	$55.00	0%	$50.00	$55.00			Purchase; Kirk Group		GST	$0.00	$5.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008885	01/03/2017	FC 265003		P	PPL_IC_05	1	The Gelato Factory 5oz Ice Cream.	$60.00	$66.00	0%	$60.00	$66.00			Purchase; Kirk Group		GST	$0.00	$6.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

REMAPAK PTY LTD		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00008800	02/03/2017	INV 28320	REMA DIRECT	P	JL_HL_8~16_W	56	8~16 oz Hot Sipper Lid (White)	$19.9818	$21.98	0%	$1,118.98	$1,230.88			Purchase for Lombard The Paper People	02/03/2017	GST	$0.00	$111.90	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			56	56	Location1	00000628	411
REMAPAK PTY LTD		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00008800	02/03/2017	INV 28320	REMA DIRECT	P	JL_HL_8~16_B	56	8~16 oz Hot Sipper Lid (Black)	$21.0091	$23.11	0%	$1,176.51	$1,294.16			Purchase for Lombard The Paper People	02/03/2017	GST	$0.00	$117.65	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			56	56	Location1	00000628	411

