Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Invoice #	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Non-GST Amount	GST Amount	LCT Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight LCT Amount	Sale Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Expiry Date	Authorisation Code	BSB	Account Number	Drawer/Account Name	Cheque Number	Category	Location ID	Card ID	Record ID
The Bean Scene		The Bean Scene	Shop 17/ Warragul Plaza	Victoria Street	Warragul		00010466	16/09/2016	Lids 16/09	Pick Up	A	JL_HL_8~16_W	10	8~16 oz Hot Sipper Lid (White)	$40.00	$44.00	0%	$400.00	$440.00			Sale; The Bean Scene					GST	$0.00	$40.00	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	90	0	0	$151.22	EFT											Location1	C008	151

International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	EX008_iPACK_DW_04K_KARAKSTN	21	4ozK D/W (1,000) Karak Station	$60.00	$60.00	0%	$1,260.00	$1,260.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT											Location1	EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	EX008_iPACK_DW_08TK_KARAKSTN	62	8ozTK D/W (500) Karak Station	$40.00	$40.00	0%	$2,480.00	$2,480.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT											Location1	EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	EX008_iPACK_DW_12K_KARAKSTN	31	12ozK D/W (500) Karak Station	$45.00	$45.00	0%	$1,395.00	$1,395.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT											Location1	EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	PPL_DW_04	1	4oz Outer Printing Plate	$180.00	$180.00	0%	$180.00	$180.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT												EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	PPL_DW_08T	1	8ozT Outer Printing Plate	$220.00	$220.00	0%	$220.00	$220.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT												EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	PPL_DW_12	1	12oz Outer Printing Plate	$240.00	$240.00	0%	$240.00	$240.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT												EX008	852
International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010488	19/09/2016	2194 Karak Stn		P	JL_HL_T8_W	25	8ozTHot Sipper Lid (White)	$25.00	$25.00	0%	$625.00	$625.00			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$6,160.00	EFT											Location1	EX008	852

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00009330	03/10/2016	1038776 Laurent		A	C031_LOMB_DW_08_LAURENT	99	8oz D/W (600) Laurent	$39.60	$43.56	0%	$3,920.40	$4,312.44		5 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$392.04	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	30	0	0	$7,840.14	EFT											Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00009330	03/10/2016	1038776 Laurent		A	C031_LOMB_DW_12_LAURENT	64	12oz D/W (500) Laurent	$38.00	$41.80	0%	$2,432.00	$2,675.20		5 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$243.20	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	30	0	0	$7,840.14	EFT											Location1	C031	39
