Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Purchase #	Date	Supplier Invoice #	Ship Via	Delivery Status	Description	Account #	Amount	Inc-Tax Amount	Job	Comment	Journal Memo	Shipping Date	Tax Code	Non-GST Amount	GST Amount	Import Duty Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight Import Duty Amount	Purchase Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	Amount Paid	Category	Card ID	Record ID
BMP ENGINEERING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008653	31/01/2017	INV 00011205		P	Sharpen single paper cup blanking press tool	62520	$6,615.00	$7,276.50			Purchase; BMP ENGINEERING		GST	$0.00	$661.50	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		*None	473
BMP ENGINEERING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008653	31/01/2017	INV 00011205		P	Sharpen 3 Cavity paper cup blanking press tool	62520	$4,300.00	$4,730.00			Purchase; BMP ENGINEERING		GST	$0.00	$430.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		*None	473

Jason Real Estate Commercial P/L  "D"		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008842	23/02/2017	INV 42466		P	Water Rates Jan 17 - Mar 17 & Usage	61702	$527.95	$580.75			Purchase; Jason Real Estate Commercial P/L  "D"		GST	$0.00	$52.80	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		FACT D	290
Jason Real Estate Commercial P/L  "D"		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008842	23/02/2017	INV 42466		P	Rent	61702	$2,750.00	$3,025.00			Purchase; Jason Real Estate Commercial P/L  "D"		GST	$0.00	$275.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		FACT D	290

W.A.M Forklift & Mechanical Repairs		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008946	07/03/2017	INV 4166		P	Travel to site locate unit. Carry out service grease & oil change. Change all filters. Replace spark plugs check engine tune, Check LPG system. Carry out full safety inspection. Inspected brake & hand brake operation. Total	62520	$418.35	$460.19			Purchase; W.A.M Forklift & Mechanical Repairs		GST	$0.00	$41.84	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		*None	1119

Vodafone		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008918	08/03/2017	1158111355		P	Mobile Phone 0401853956 $40.00 ~Ready Business $40 SIM Only	62800	$36.36	$40.00			Purchase; Vodafone		GST	$0.00	$3.64	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		879286903	1155
Vodafone		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008918	08/03/2017	1158111355		P	Mobile Phone 0407167444 $40.00 ~Ready Business $40 SIM Only	62800	$36.37	$40.00			Purchase; Vodafone		GST	$0.00	$3.63	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		879286903	1155
